obs,lat,lon
234633,-45.533333,-65.466667
234633,-45.533333,-65.45
234633,-45.533333,-64.883333
234633,-45.516667,-66.783333
234633,-45.516667,-66.1
234633,-45.516667,-66.066667
234633,-45.516667,-65.966667
234633,-45.516667,-65.95
234633,-45.516667,-65.90000000000002
234633,-45.516667,-65.43333300000002
234633,-45.516667,-65.3
234633,-45.516667,-65.283333
234633,-45.516667,-64.90000000000002
234633,-45.5,-66.90000000000002
234633,-45.5,-66.18333300000002
234633,-45.5,-66.1
234633,-45.5,-66.033333
234633,-45.5,-65.75
234633,-45.5,-65.366667
234633,-45.5,-65.3
234633,-45.5,-64.316667
234633,-45.483333,-66.45
234633,-45.483333,-66.366667
234633,-45.483333,-66.333333
234633,-45.483333,-65.366667
234633,-45.466667,-66.616667
234633,-45.466667,-66.233333
234633,-45.466667,-66.15000000000002
234633,-45.466667,-65.18333300000002
234633,-45.45,-66.366667
234633,-45.45,-66.166667
234633,-45.45,-66.133333
234633,-45.45,-66
234633,-45.45,-65.93333300000002
234633,-45.45,-65.333333
234633,-45.433333,-66.93333300000002
234633,-45.433333,-66.366667
234633,-45.433333,-66.283333
234633,-45.433333,-65.316667
234633,-45.433333,-65.3
234633,-45.433333,-65.283333
234633,-45.433333,-64.966667
